,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0071824,BP,GO:0071824,protein-DNA complex organization,92/2567,187/6969,0.000308739,0.084803463,0.082884784,ABRAXAS1/ACTL6A/ARID4A/ASF1A/ASF1B/BAZ1A/BCL6/BMI1/CABIN1/CBX1/CBX3/CBX5/CENPA/CENPC/CENPH/CENPI/CENPO/CENPW/CHD1L/CHD2/CHD8/CHDH/CHEK1/CREBZF/DDX21/DMC1/DR1/DYRK1A/EPC1/EZH1/EZH2/FOXA1/GMNN/H1-0/H1-10/H1-3/H1-8/HAT1/HDAC2/HDAC6/HELLS/HJURP/HMGB2/HMGN4/HNF1A/HP1BP3/KAT6B/KLF2/LHX2/LMNB1/MBTD1/METTL23/MLLT3/MORF4L1/MSL2/MSL3/MTF2/NAP1L1/NAP1L3/NR3C1/OGT/OIP5/PHF8/PSIP1/PWWP3A/RAD21/RAG1/RB1/RBBP7/RBM15/RESF1/RLIM/SATB1/SETDB2/SHPRH/SMYD3/STPG4/SUPT16H/SUZ12/TAF9/TASOR/TDRD3/TERF1/TLK1/TONSL/TSPYL1/TSPYL2/UIMC1/USP16/WAC/ZBTB1/ZZZ3,92
GO:0006325,BP,GO:0006325,chromatin organization,83/2567,166/6969,0.000309596,0.084803463,0.082884784,ABRAXAS1/ACTL6A/ARID4A/ASF1A/ASF1B/BAZ1A/BCL6/BMI1/CABIN1/CBX1/CBX3/CBX5/CENPA/CHD1L/CHD2/CHD8/CHDH/CHEK1/CREBZF/DDX21/DR1/DYRK1A/EPC1/EZH1/EZH2/FOXA1/H1-0/H1-10/H1-3/H1-8/HAT1/HDAC2/HDAC6/HELLS/HJURP/HMGB2/HMGN4/HNF1A/HP1BP3/KAT6B/KLF2/LHX2/LMNB1/MBTD1/METTL23/MLLT3/MORF4L1/MSL2/MSL3/MTF2/NAP1L1/NAP1L3/NR3C1/OGT/OIP5/PHF8/PSIP1/PWWP3A/RAD21/RAG1/RB1/RBBP7/RBM15/RESF1/RLIM/SATB1/SETDB2/SHPRH/SMYD3/STPG4/SUPT16H/SUZ12/TASOR/TDRD3/TLK1/TONSL/TSPYL1/TSPYL2/UIMC1/USP16/WAC/ZBTB1/ZZZ3,83
GO:0010389,BP,GO:0010389,regulation of G2/M transition of mitotic cell cycle,19/2567,27/6969,0.000405518,0.10253358,0.100213757,APP/AURKB/BRCC3/CCNB1/CDC25B/CDC25C/CDK1/CHEK1/DONSON/FOXO4/INTS3/RAB11A/RAD21/RINT1/RNASEH2B/STOX1/TAOK1/UIMC1/VPS4B,19
GO:0044770,BP,GO:0044770,cell cycle phase transition,72/2567,142/6969,0.000451249,0.105946836,0.103549787,ANAPC5/ANXA1/APP/APPL1/ATM/AURKB/BIRC5/BRCC3/CALM2/CALM3/CCNA2/CCNB1/CCNB2/CCNF/CCNG1/CCNG2/CCNH/CCNI/CDC25B/CDC25C/CDC5L/CDK1/CDKN1B/CDKN2C/CDKN2D/CHEK1/DDX3X/DONSON/EME1/FEM1B/FOXM1/FOXO4/GEN1/GPR15LG/HUS1/ID2/INHBA/INO80/INTS3/MAD2L1/MAPK14/MNAT1/MUS81/NFIB/OVOL1/PAGR1/PHF8/PIM2/PKD2/PPP1R10/PTPN11/PTPN6/RAB11A/RAD1/RAD21/RHNO1/RINT1/RNASEH2B/RPS6/RPS6KB1/SPAST/SPDL1/STOX1/TAOK1/TCIM/TIPRL/TM4SF5/UIMC1/USP44/VPS4B/WAC/ZWINT,72
GO:0000070,BP,GO:0000070,mitotic sister chromatid segregation,31/2567,52/6969,0.000671715,0.147195178,0.143864885,ABRAXAS1/ABRAXAS2/ANAPC5/ATM/AURKB/BECN1/BIRC5/CCNB1/CHMP2B/EML4/GEN1/INO80/KIF11/KIF18A/KIF18B/KIF22/KIF4A/KNSTRN/KPNB1/LSM14A/MAD2L1/NCAPG/NUF2/RAB11A/RAD21/SGO1/SMC4/SPDL1/USP44/VPS4B/ZWINT,31
GO:0051310,BP,GO:0051310,metaphase chromosome alignment,18/2567,26/6969,0.000788408,0.150819806,0.147407506,ABRAXAS1/ABRAXAS2/BECN1/CCNB1/CENPQ/CHMP2B/EML4/KIF18A/KIF22/KNSTRN/KPNB1/NUF2/RAB11A/SGO1/SPAG5/SPC25/SPDL1/VPS4B,18
GO:0016482,BP,GO:0016482,cytosolic transport,26/2567,42/6969,0.000815387,0.150819806,0.147407506,AP1AR/ARL1/BECN1/CLN5/DENND10/GCC2/GOLT1A/GOLT1B/KIF16B/KLHL20/MAPK1/PHETA2/PIK3C3/PIP4K2A/RAB14/RAB21/RAB5A/RAB9A/RDX/RHOBTB3/RIC1/SNX16/STX10/VPS26A/VPS53/WDR91,26
GO:0044839,BP,GO:0044839,cell cycle G2/M phase transition,25/2567,40/6969,0.00083694,0.150819806,0.147407506,APP/AURKB/BIRC5/BRCC3/CALM2/CALM3/CCNA2/CCNB1/CCNB2/CDC25B/CDC25C/CDK1/CHEK1/DONSON/FOXM1/FOXO4/INTS3/RAB11A/RAD21/RINT1/RNASEH2B/STOX1/TAOK1/UIMC1/VPS4B,25
GO:0044772,BP,GO:0044772,mitotic cell cycle phase transition,57/2567,110/6969,0.000871791,0.150819806,0.147407506,ANAPC5/ANXA1/APP/APPL1/ATM/AURKB/BIRC5/BRCC3/CALM2/CALM3/CCNA2/CCNB1/CCNB2/CCNF/CCNG1/CCNG2/CCNH/CCNI/CDC25B/CDC25C/CDK1/CDKN1B/CDKN2C/CDKN2D/CHEK1/DDX3X/DONSON/FOXM1/FOXO4/GEN1/ID2/INHBA/INO80/INTS3/MAD2L1/MNAT1/NFIB/PHF8/PIM2/PKD2/PTPN6/RAB11A/RAD21/RINT1/RNASEH2B/RPS6/RPS6KB1/SPAST/SPDL1/STOX1/TAOK1/TM4SF5/UIMC1/USP44/VPS4B/WAC/ZWINT,57
GO:0046907,BP,GO:0046907,intracellular transport,200/2567,457/6969,0.000973182,0.158882491,0.155287772,ABCD3/ACAA2/ACTR10/AFTPH/AGTPBP1/AHCYL1/AKIRIN2/ALMS1/ANKRD54/AP1AR/AP1B1/AP1G1/AP1G2/AP1S2/AP2B1/AP3B1/AP3M1/AP4E1/AP4S1/APP/APPL1/ARL1/ARL4A/ARL5B/BECN1/BICD1/BICDL2/BLOC1S6/BMP4/BNIP3L/CACNG7/CDKN1B/CEP120/CHMP2B/CHMP4C/CLN5/CLTC/COPA/COPB1/COPB2/COPG2/CREB3L2/DENND10/DTNBP1/DYNC2I2/DYNC2LI1/ERGIC2/FGF9/FMR1/FYTTD1/GCC2/GGA2/GOLT1A/GOLT1B/GOSR1/GPRASP1/GRAMD1C/HDAC6/HHEX/HIP1R/HNRNPA1/HOOK2/HPS4/HSPA1L/HSPA9/IFT22/IFT46/IFT52/IFT74/IGF2R/INPP5F/INSIG1/IPO8/KIF16B/KLHL20/KPNA1/KPNA2/KPNA3/KPNA5/KPNA7/KPNB1/LAMP2/LCA5/LMNB1/MAP1B/MAPK1/MAPK14/MED1/MPPE1/MTM1/MTX2/MX1/MYO5C/MYO6/NCBP2/NCOA4/NDFIP2/NEMF/NHERF1/NUP214/NUP85/NUS1/NXT2/PAFAH1B1/PDCD10/PEX2/PEX26/PEX3/PEX6/PHAX/PHETA2/PIK3C3/PIK3R1/PIP4K2A/PRKAG1/PTPN11/RAB11A/RAB14/RAB18/RAB1A/RAB21/RAB32/RAB3C/RAB5A/RAB9A/RAMP1/RAMP2/RANGRF/RDX/RELCH/RGS14/RHOB/RHOBTB3/RIC1/RINT1/RNF139/SAR1B/SCAP/SDAD1/SEC22C/SEC24A/SEC31B/SEC63/SGTB/SLC1A1/SLC25A4/SLU7/SNAPIN/SNX10/SNX16/SNX2/SNX27/SNX6/SPAST/SRP19/SRP54/SSB/STARD4/STX10/STX17/STX19/STX2/STX7/STYX/TAMALIN/THOC2/TLK1/TMCO6/TMED10/TMED5/TMED6/TMEM106B/TNPO1/TNPO2/TNPO3/TOMM40L/TRAM1/TRAPPC6B/TRIM23/TRPV4/TXNIP/USO1/VPS11/VPS26A/VPS33A/VPS36/VPS41/VPS45/VPS4B/VPS53/VTI1B/WDR91/XPO5/XPO7/YIPF5/YIPF6/ZDHHC6/ZFAND1/ZFAND2B/ZFAND6,200
GO:0006338,BP,GO:0006338,chromatin remodeling,62/2567,122/6969,0.001015069,0.158882491,0.155287772,ACTL6A/ARID4A/ASF1A/ASF1B/BAZ1A/BCL6/BMI1/CBX3/CENPA/CHD1L/CHD2/CHD8/CHDH/CHEK1/CREBZF/DDX21/DR1/DYRK1A/EZH1/EZH2/FOXA1/H1-0/H1-10/H1-3/H1-8/HAT1/HDAC2/HDAC6/HELLS/HJURP/HMGB2/HNF1A/HP1BP3/KAT6B/KLF2/LHX2/LMNB1/METTL23/MSL2/MTF2/NAP1L1/NAP1L3/OGT/OIP5/PHF8/PSIP1/RBBP7/RBM15/RESF1/RLIM/SATB1/SETDB2/SHPRH/SMYD3/STPG4/SUPT16H/SUZ12/TASOR/TSPYL1/TSPYL2/WAC/ZBTB1,62
GO:0008608,BP,GO:0008608,attachment of spindle microtubules to kinetochore,10/2567,12/6969,0.001333727,0.172653523,0.168747235,ABRAXAS1/ABRAXAS2/BECN1/CCNB1/EML4/KNSTRN/NUF2/SGO1/SPAG5/SPC25,10
GO:0045022,BP,GO:0045022,early endosome to late endosome transport,10/2567,12/6969,0.001333727,0.172653523,0.168747235,BECN1/DENND10/KIF16B/MAPK1/PIK3C3/RAB21/RAB5A/RDX/SNX16/WDR91,10
GO:0098927,BP,GO:0098927,vesicle-mediated transport between endosomal compartments,10/2567,12/6969,0.001333727,0.172653523,0.168747235,BECN1/DENND10/KIF16B/MAPK1/PIK3C3/RAB21/RAB5A/RDX/SNX16/WDR91,10
GO:0140014,BP,GO:0140014,mitotic nuclear division,43/2567,80/6969,0.001422602,0.172653523,0.168747235,ABRAXAS1/ABRAXAS2/ANAPC5/ATM/AURKB/BECN1/BIRC5/BMP4/CAV2/CCNB1/CDKN1B/CHEK1/CHMP2B/EML4/EREG/FBXO5/GEN1/INO80/KIF11/KIF18A/KIF18B/KIF22/KIF4A/KNSTRN/KPNB1/LSM14A/MAD2L1/NCAPG/NFIB/NUF2/RAB11A/RAD21/REEP3/REEP4/SGO1/SMC4/SPAST/SPDL1/UBXN2B/USP16/USP44/VPS4B/ZWINT,43
GO:0070647,BP,GO:0070647,protein modification by small protein conjugation or removal,140/2567,311/6969,0.001495975,0.172653523,0.168747235,ABRAXAS1/ABRAXAS2/AMER1/ANAPC13/ANAPC16/ANAPC5/ARRDC3/ASB13/ASB3/ASB4/ASB7/ATXN3/BMI1/BRCA1/BRCC3/CALML4/CBL/CCNF/CDC20/CEP63/COPS4/CRBN/CUL4A/CUL4B/CUL5/DCAF11/DCAF13/DCAF17/DDB2/DDX3X/DTX4/EGR1/FANCI/FBXL3/FBXL5/FBXO33/FBXO5/FBXO9/FEM1B/GNL3/GPS2/HDAC6/HECTD2/HUWE1/KLHL15/KLHL20/KLHL24/KLHL25/KLHL41/KLHL42/KLHL9/LTN1/MAD2L1/MAPK9/MARCHF7/MIB1/MINDY3/MSL2/N4BP1/NDFIP2/NFE2L2/OGT/OTUD6B/OTUD7B/PCNP/PEX2/PJA2/PLAA/PSMD14/RAD18/RAG1/RBBP6/RLIM/RNF103/RNF11/RNF115/RNF125/RNF138/RNF139/RNF14/RNF141/RNF144A/RNF144B/RNF157/RNF182/RNF19A/RNF20/RNF208/RNF26/RNF7/SENP1/SENP7/SENP8/SIAH1/SOCS4/SOCS5/SOCS6/SOCS7/SOX4/SPOPL/SUMO1/TAF9/TNKS2/TOPORS/TRAF5/TRAF6/TRAF7/TRIM10/TRIM15/TRIM23/TRIM4/TRIM50/TRIM65/TRIM8/UBA3/UBA6/UBA7/UBE2D3/UBE3A/UBE3B/UCHL3/UCHL5/UFL1/UIMC1/USP15/USP16/USP2/USP21/USP37/USP4/USP43/USP44/USP45/USP53/USP7/WAC/WWP1/YOD1/ZC4H2/ZRANB1,140
GO:1901987,BP,GO:1901987,regulation of cell cycle phase transition,57/2567,112/6969,0.001524523,0.172653523,0.168747235,ANAPC5/ANXA1/APP/APPL1/ATM/AURKB/BIRC5/BRCC3/CCNB1/CCNH/CDC25B/CDC25C/CDC5L/CDK1/CDKN1B/CDKN2C/CDKN2D/CHEK1/DDX3X/DONSON/EME1/FEM1B/FOXO4/GEN1/GPR15LG/HUS1/ID2/INHBA/INO80/INTS3/MAD2L1/MAPK14/MNAT1/MUS81/OVOL1/PAGR1/PKD2/PPP1R10/PTPN11/PTPN6/RAB11A/RAD1/RAD21/RHNO1/RINT1/RNASEH2B/SPDL1/STOX1/TAOK1/TCIM/TIPRL/TM4SF5/UIMC1/USP44/VPS4B/WAC/ZWINT,57
