,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0070585,BP,GO:0070585,protein localization to mitochondrion,26/2934,31/6969,2.06E-06,0.000596364,0.000552688,AGK/AIP/ATP5IF1/BAX/BBC3/BCAP31/BCS1L/CHCHD4/COX18/DDIT3/FBXO7/GDAP1/IMMP1L/ISG15/MAIP1/MTCH1/PRKN/ROMO1/TIMM17B/TIMM21/TIMM22/TIMM44/TOMM34/TOMM40/TOMM7/TRMT10B,26
GO:0006396,BP,GO:0006396,RNA processing,197/2934,366/6969,2.32E-06,0.000596364,0.000552688,ABT1/ADAT1/ADAT2/AGO2/BCAS2/BUD23/BUD31/CDK9/CELF3/CLNS1A/CLP1/CMTR1/CSTF1/CSTF3/CWC15/DCPS/DDX20/DDX39B/DDX49/DGCR8/DHX16/DHX8/DKC1/EFTUD2/EIF4A3/ELP5/EMG1/ESS2/EXD1/EXOSC1/EXOSC10/EXOSC2/EXOSC3/EXOSC4/FBL/FCF1/FTSJ1/GAR1/GEMIN8/GON7/GTPBP4/HSD17B10/IK/IMP3/ISG20/KRI1/LARP6/LSM3/LSM5/LUC7L/LYAR/MAGOH/METTL3/MOCS3/MRM1/MRPL44/MRPS11/MTFMT/MYOD1/NAF1/NAT10/NOB1/NOL6/NOL9/NOP10/NOP2/NOP9/NOVA2/NPM3/NSUN5/OSGEP/PIN4/PIWIL2/PNLDC1/POP1/POP4/POP5/POP7/PPAN/PPIL3/PQBP1/PRDX6/PRPF18/PRPF19/PRPF3/PRPF31/PRPF4/PTBP1/PUS1/PUS3/PWP1/QTRT1/QTRT2/RBM14/RBM15B/RBM17/RBM3/RBM38/RBM4/RBM42/RBM5/RBM8A/RBMX2/REXO4/RPL26/RPL27/RPL35/RPL35A/RPL7/RPL7L1/RPP21/RPP25L/RPP38/RPP40/RPRD1B/RPS16/RPS21/RPS25/RPS28/RPS8/RPUSD1/RRP15/RRP36/RRP9/RRS1/RTCA/RTCB/SART1/SART3/SCNM1/SDE2/SF1/SF3A1/SF3A3/SF3B2/SF3B4/SF3B5/SF3B6/SFSWAP/SHQ1/SIRT7/SLBP/SLX9/SMNDC1/SNRNP25/SNRNP27/SNRPA/SNRPA1/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG/SRSF2/SRSF5/SRSF6/SRSF7/STRAP/SYMPK/TARBP2/TBRG4/TFIP11/TGS1/TMBIM6/TP53RK/TRA2B/TRMT10B/TRMT112/TRMT2A/TSN/TSR2/TSR3/TXNL4A/U2AF1L4/U2AF2/URM1/USP39/UTP11/UTP23/WDR12/WDR18/WDR4/WDR46/WDR55/WDR74/WDR83/WT1/XAB2/YJU2/YJU2B/ZBTB7A/ZBTB8OS/ZMAT2/ZNF473/ZPR1/ZRSR2,197
GO:0006518,BP,GO:0006518,peptide metabolic process,175/2934,320/6969,2.35E-06,0.000596364,0.000552688,ABCB9/ABCF1/ADAMTS13/AEBP1/AGO2/AIMP2/APH1A/CALR/CNOT3/CNOT8/CPEB1/CPN1/CTSH/CTSV/DCP1A/DCPS/DENR/DRG1/EARS2/EEF2/EIF1/EIF3H/EIF3I/EIF4A1/EIF4A3/EIF4EBP1/EIF4EBP3/ELAVL1/ENC1/EXOSC3/FARSA/FTSJ1/FURIN/FXR2/GAPDH/GARS1/GATC/GCLC/GCLM/GGT5/HARS1/HARS2/IGF2BP1/IMMP1L/JMJD4/KARS1/LARP6/LTO1/METTL17/METTL3/MIF4GD/MRPL11/MRPL13/MRPL15/MRPL16/MRPL17/MRPL18/MRPL2/MRPL20/MRPL24/MRPL27/MRPL33/MRPL35/MRPL36/MRPL4/MRPL43/MRPL44/MRPL47/MRPL52/MRPL55/MRPL58/MRPL9/MRPS11/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS5/MRPS7/MRPS9/MRRF/MTG1/MTRF1/NARS1/NAT10/NCK2/NIBAN1/NSUN5/OGFOD1/PAIP2/PARS2/PCSK4/PDE12/PIN1/PIWIL2/PNLDC1/PPP1R15B/PSEN1/PSEN2/PSENEN/QRSL1/RACK1/RBM3/RGS2/RPL10/RPL10A/RPL11/RPL22/RPL23/RPL26/RPL26L1/RPL27/RPL29/RPL3/RPL32/RPL35/RPL35A/RPL36/RPL36AL/RPL38/RPL5/RPL6/RPL9/RPLP0/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS15/RPS16/RPS17/RPS18/RPS19/RPS20/RPS21/RPS23/RPS26/RPS27/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6KB2/RPS8/RPSA/RPUSD3/RTN4/SEC11C/SESN2/SF1/SKIC8/SLBP/SP1/SPCS1/SPCS2/SPCS3/SRP9/TARBP2/TARS2/THOP1/TRNAU1AP/UBA52/UNK/UQCC2/VARS1/WARS1/WT1/YARS1/ZFP36/ZFP36L1/ZFP36L2,175
GO:0034470,BP,GO:0034470,ncRNA processing,100/2934,168/6969,3.15E-06,0.000741933,0.000687596,ABT1/ADAT1/ADAT2/AGO2/BUD23/CLP1/DDX49/DGCR8/EIF4A3/ELP5/EMG1/EXD1/EXOSC10/EXOSC2/EXOSC3/EXOSC4/FBL/FCF1/FTSJ1/GAR1/GON7/GTPBP4/HSD17B10/IMP3/ISG20/KRI1/LYAR/METTL3/MOCS3/MRM1/MRPL44/MRPS11/MTFMT/NAF1/NAT10/NOB1/NOL6/NOL9/NOP10/NOP2/NOP9/NPM3/NSUN5/OSGEP/PIN4/PIWIL2/PNLDC1/POP1/POP4/POP5/POP7/PPAN/PUS1/PUS3/PWP1/QTRT1/QTRT2/REXO4/RPL26/RPL27/RPL35/RPL35A/RPL7/RPL7L1/RPP21/RPP25L/RPP38/RPP40/RPS16/RPS21/RPS25/RPS28/RPS8/RPUSD1/RRP15/RRP36/RRP9/RRS1/RTCB/SART1/SHQ1/SIRT7/SLX9/TARBP2/TP53RK/TRMT10B/TRMT112/TSN/TSR2/TSR3/URM1/UTP11/UTP23/WDR12/WDR18/WDR4/WDR46/WDR55/WDR74/ZBTB8OS,100
GO:0043603,BP,GO:0043603,amide metabolic process,225/2934,428/6969,4.33E-06,0.000906333,0.000839956,ABCB9/ABCF1/ACACB/ACER1/ACOT6/ACOT8/ACSM4/ADAMTS13/AEBP1/AGK/AGO2/AIMP2/AMDHD2/APH1A/ARG1/ARG2/ASNS/ASS1/B4GALT5/CALR/CCN1/CERS2/CERS4/CMAS/CNOT3/CNOT8/CPEB1/CPN1/CTSH/CTSV/CYP4F22/DCP1A/DCPS/DEGS1/DENR/DLST/DRG1/EARS2/EEF2/EIF1/EIF3H/EIF3I/EIF4A1/EIF4A3/EIF4EBP1/EIF4EBP3/ELAVL1/ELOVL1/ENC1/EXOSC3/FARSA/FH/FITM2/FTSJ1/FURIN/FXR2/GAPDH/GARS1/GATC/GBA1/GCLC/GCLM/GGT5/GM2A/GNPDA1/GOT1/GOT2/HARS1/HARS2/IGF2BP1/IMMP1L/JMJD4/KARS1/LARP6/LTO1/MCEE/METTL17/METTL3/MIF4GD/MPC2/MRPL11/MRPL13/MRPL15/MRPL16/MRPL17/MRPL18/MRPL2/MRPL20/MRPL24/MRPL27/MRPL33/MRPL35/MRPL36/MRPL4/MRPL43/MRPL44/MRPL47/MRPL52/MRPL55/MRPL58/MRPL9/MRPS11/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS5/MRPS7/MRPS9/MRRF/MTG1/MTRF1/NARS1/NAT10/NCK2/NEU1/NEU3/NIBAN1/NSUN5/NT5C/OGFOD1/ORMDL2/ORMDL3/P2RX7/PAIP2/PARS2/PCSK4/PDE12/PIN1/PIWIL2/PLPP1/PLPP3/PMVK/PNLDC1/PPCS/PPP1R15B/PSEN1/PSEN2/PSENEN/QRSL1/RACK1/RBM3/RENBP/RGS2/RPL10/RPL10A/RPL11/RPL22/RPL23/RPL26/RPL26L1/RPL27/RPL29/RPL3/RPL32/RPL35/RPL35A/RPL36/RPL36AL/RPL38/RPL5/RPL6/RPL9/RPLP0/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS15/RPS16/RPS17/RPS18/RPS19/RPS20/RPS21/RPS23/RPS26/RPS27/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6KB2/RPS8/RPSA/RPUSD3/RTN4/SAMD8/SEC11C/SESN2/SF1/SGMS2/SKIC8/SLBP/SMPD2/SP1/SPCS1/SPCS2/SPCS3/SPHK1/SPTSSA/SRP9/ST3GAL1/ST3GAL3/TARBP2/TARS2/TAT/THOP1/TIGAR/TRNAU1AP/UBA52/UGCG/UNK/UQCC2/VARS1/WARS1/WT1/YARS1/ZFP36/ZFP36L1/ZFP36L2,225
GO:0061136,BP,GO:0061136,regulation of proteasomal protein catabolic process,37/2934,50/6969,4.48E-06,0.000906333,0.000839956,ARAF/ARIH2/BAG2/BAG6/BCAP31/CLU/CSNK1E/DDRGK1/DESI1/DVL1/EPM2A/FZR1/GABARAP/GBA1/MDM2/PARK7/PITHD1/PLK3/PRKN/PSEN1/PSMD10/PSME1/PSME2/PSME3/RACK1/RNF180/RNF19B/RPL11/SMAD7/STUB1/SUMO2/SVIP/TMEM259/TRIM39/UBB/UBQLN4/ZFAND2A,37
GO:0043043,BP,GO:0043043,peptide biosynthetic process,155/2934,281/6969,4.68E-06,0.000906333,0.000839956,ABCF1/AGO2/AIMP2/CALR/CNOT3/CNOT8/CPEB1/DCP1A/DCPS/DENR/DRG1/EARS2/EEF2/EIF1/EIF3H/EIF3I/EIF4A1/EIF4A3/EIF4EBP1/EIF4EBP3/ELAVL1/ENC1/EXOSC3/FARSA/FTSJ1/FURIN/FXR2/GAPDH/GARS1/GATC/GCLC/GCLM/GGT5/HARS1/HARS2/IGF2BP1/JMJD4/KARS1/LARP6/LTO1/METTL17/METTL3/MIF4GD/MRPL11/MRPL13/MRPL15/MRPL16/MRPL17/MRPL18/MRPL2/MRPL20/MRPL24/MRPL27/MRPL33/MRPL35/MRPL36/MRPL4/MRPL43/MRPL44/MRPL47/MRPL52/MRPL55/MRPL58/MRPL9/MRPS11/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS5/MRPS7/MRPS9/MRRF/MTG1/MTRF1/NARS1/NAT10/NCK2/NIBAN1/NSUN5/OGFOD1/PAIP2/PARS2/PDE12/PIWIL2/PNLDC1/PPP1R15B/QRSL1/RACK1/RBM3/RGS2/RPL10/RPL10A/RPL11/RPL22/RPL23/RPL26/RPL26L1/RPL27/RPL29/RPL3/RPL32/RPL35/RPL35A/RPL36/RPL36AL/RPL38/RPL5/RPL6/RPL9/RPLP0/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS15/RPS16/RPS17/RPS18/RPS19/RPS20/RPS21/RPS23/RPS26/RPS27/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6KB2/RPS8/RPSA/RPUSD3/SESN2/SF1/SKIC8/SLBP/SRP9/TARBP2/TARS2/TRNAU1AP/UBA52/UNK/UQCC2/VARS1/WARS1/WT1/YARS1/ZFP36/ZFP36L1/ZFP36L2,155
GO:0006412,BP,GO:0006412,translation,151/2934,273/6969,5.05E-06,0.000925293,0.000857527,ABCF1/AGO2/AIMP2/CALR/CNOT3/CNOT8/CPEB1/DCP1A/DCPS/DENR/DRG1/EARS2/EEF2/EIF1/EIF3H/EIF3I/EIF4A1/EIF4A3/EIF4EBP1/EIF4EBP3/ELAVL1/ENC1/EXOSC3/FARSA/FTSJ1/FXR2/GAPDH/GARS1/GATC/HARS1/HARS2/IGF2BP1/JMJD4/KARS1/LARP6/LTO1/METTL17/METTL3/MIF4GD/MRPL11/MRPL13/MRPL15/MRPL16/MRPL17/MRPL18/MRPL2/MRPL20/MRPL24/MRPL27/MRPL33/MRPL35/MRPL36/MRPL4/MRPL43/MRPL44/MRPL47/MRPL52/MRPL55/MRPL58/MRPL9/MRPS11/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS5/MRPS7/MRPS9/MRRF/MTG1/MTRF1/NARS1/NAT10/NCK2/NIBAN1/NSUN5/OGFOD1/PAIP2/PARS2/PDE12/PIWIL2/PNLDC1/PPP1R15B/QRSL1/RACK1/RBM3/RGS2/RPL10/RPL10A/RPL11/RPL22/RPL23/RPL26/RPL26L1/RPL27/RPL29/RPL3/RPL32/RPL35/RPL35A/RPL36/RPL36AL/RPL38/RPL5/RPL6/RPL9/RPLP0/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS15/RPS16/RPS17/RPS18/RPS19/RPS20/RPS21/RPS23/RPS26/RPS27/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6KB2/RPS8/RPSA/RPUSD3/SESN2/SF1/SKIC8/SLBP/SRP9/TARBP2/TARS2/TRNAU1AP/UBA52/UNK/UQCC2/VARS1/WARS1/WT1/YARS1/ZFP36/ZFP36L1/ZFP36L2,151
GO:0072655,BP,GO:0072655,establishment of protein localization to mitochondrion,24/2934,29/6969,8.31E-06,0.001440396,0.001334906,AGK/AIP/ATP5IF1/BAX/BBC3/BCAP31/BCS1L/CHCHD4/COX18/DDIT3/FBXO7/GDAP1/IMMP1L/MAIP1/MTCH1/ROMO1/TIMM17B/TIMM21/TIMM22/TIMM44/TOMM34/TOMM40/TOMM7/TRMT10B,24
GO:0009894,BP,GO:0009894,regulation of catabolic process,145/2934,263/6969,9.83E-06,0.001620274,0.00150161,ABHD5/AGO2/APOA4/APOC3/ARAF/ARIH2/ASB11/ASB9/ATG13/AZIN1/BAG2/BAG6/BAX/BCAP31/CBLB/CCDC22/CDK4/CHMP4A/CISD2/CLU/CNOT3/CNOT8/CSNK1E/CST3/DAP/DCP1A/DCPS/DDIT4/DDRGK1/DDX49/DEPP1/DESI1/DRAM1/DVL1/EIF4A3/ELAVL1/EPM2A/EXOSC3/FASTK/FBXO7/FMC1/FOXO1/FURIN/FYN/FZR1/GABARAP/GBA1/GFAP/HAMP/IGF2BP1/IL10RA/KEAP1/L3MBTL3/LEPR/MAD2L2/MAGOH/MARCHF2/MCL1/MDM2/MFSD2A/NAF1/NOS2/OAZ3/ORMDL3/P2RX7/PABPC4/PARK7/PCID2/PDCL3/PDE12/PHF23/PIN1/PITHD1/PLK2/PLK3/PNLDC1/PNPLA2/POLDIP2/PPP1R3B/PPP2CA/PRKN/PSEN1/PSMD10/PSMD2/PSMD3/PSME1/PSME2/PSME3/PTK2B/RAB39B/RACK1/RALB/RBM38/RBM8A/RGP1/RNF180/RNF19B/RNF41/RNF5/RPL11/RRAGA/SCT/SESN2/SIRT1/SLC25A5/SLC4A1/SMAD7/SNF8/SNX30/SOX9/SQSTM1/STK38L/STUB1/STX5/SUMO2/SVIP/TBRG4/TICAM1/TIGAR/TIMP1/TIMP3/TIPARP/TIRAP/TMEM259/TMEM39A/TMEM59/TNFAIP3/TP53INP1/TRAF2/TRIM27/TRIM32/TRIM39/TTC5/TWIST1/UBB/UBQLN4/ULK3/VPS28/ZBTB7A/ZDHHC7/ZFAND2A/ZFP36/ZFP36L1/ZFP36L2/ZSWIM8,145
